ID_ESTABLECIMIENTO,Nombre del Establecimiento,Cadena Hotelera,Titular - Propiedad,CIF,País,Comunidad Autónoma,Isla,Municipio,Dirección Completa,Habitaciones,Plazas,Responsable Local,Cargo Local,Email Local,Responsable Corp,Cargo Corp,Email Corp,Edificio Prioritario,Servicio A01,Servicio A02,Servicio A03,Fecha Apertura,Fecha Cierre,STATUS
HS-419,Iberostar Selection Jardín del Sol Suites,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Calvià,"Huguet de's Far, s/n, 07180 Calvià",260,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-420,Iberostar Selection Kantaoui Bay,Iberostar Hotels,,,5 Túnez,Túnez,,,"Jinene El Kantaoui, Hammam Sousse B.P. 243 Túnez، 4089, Túnez",358,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-421,Iberostar Selection Kuriat Palace,Iberostar Hotels,,,5 Túnez,Túnez,,,"Zone touristique DKHILA، Route Touristique, Monastir 5061, Túnez",481,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-422,Iberostar Selection Lagos Algarve,Iberostar Hotels,,,2 Portugal,Algarve,,,"Estrada Da Meia Praia, 8600-315 Lagos, Portugal",332,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-423,Iberostar Selection Lanzarote Park,Iberostar Hotels,,,1 España,Canarias - Lanzarote,Lanzarote,Playa Blanca,"Av. Archipiélago, 7, 35580 Playa Blanca, Las Palmas",355,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-424,Iberostar Selection Lisboa,Iberostar Hotels,,,Portugal,Lisboa,,,"R. Castilho 64, 1250-071 Lisboa, Portugal",220,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-425,Iberostar Selection Llaut Palma,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Palma,"Av. d'Amèrica, 2, Platja de Palma i Pla de Sant Jordi, 07600 Palma, Illes Balears",186,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-426,Iberostar Selection Marbella Coral Beach,Iberostar Hotels,,,1 España,Andalucía- Málaga,,Marbella,"Urbanización Coral Beach, N-340, Km.176, 29602 Marbella, Málaga",170,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-427,Iberostar Selection Mirage Hammamet,Iberostar Hotels,,,5 Túnez,Túnez,,,"Avenue Bettino Craxi, Yasmine Hammamet 8050, Túnez",190,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-428,Iberostar Selection Playa de Muro Village,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Playa de Muro,"Av. de s'Albufera, 6, 07458 Playa de Muro, Mallorca, Illes Balears",190,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-429,Iberostar Selection Playa de Palma,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Palma,"Calle Marbella 36, 07610 Playa de Palma",348,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-430,Iberostar Selection Royal El Mansour,Iberostar Hotels,,,5 Túnez,Túnez,,,"B.P. 217, Avenue Taher Sfar, 5111 Route de la Corniche, Hiboun, Túnez",447,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-431,Iberostar Selection Sábila,Iberostar Hotels,,,1 España,Canarias - Tenerife,Tenerife,Costa Adeje,"Av. Ernesto Sarti, 5, 38679 Costa Adeje, Santa Cruz de Tenerife",404,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-432,Iberostar Selection Santa Eulalia Ibiza,Iberostar Hotels,,,1 España,Baleares- Ibiza,,Santa Eulalia del Río,"Calle Mestral, 42, Urbanización s'Argamassa, 07849 Santa Eulalia del Río, Ibiza, Balearic Islands",293,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-433,Iberostar Waves Alcudia Park,Iberostar Hotels,,,1 España,Baleares- Mallorca,Tenerife,Playa de,"Av. de s'Albufera, 30, 07458 Playa de, Illes Balears",366,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-434,Iberostar Waves Averroes,Iberostar Hotels,,,5 Túnez,Túnez,,,"Yasmine Hammamet 8052, Túnez",256,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-435,Iberostar Waves Bahía de Palma,Iberostar Hotels,,,1 España,Baleares- Mallorca,Tenerife,Playa de,"Carrer de Marbella, 32, Platja de Palma i Pla de Sant Jordi, 07610 Playa de, Illes Balears",402,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-436,Iberostar Waves Bellevue,Iberostar Hotels,,,4 Montenegro,Montenegro,,,"Bečići 85310, Montenegro",578,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-437,Iberostar Waves Bouganville Playa,Iberostar Hotels,,,1 España,Canarias - Tenerife,Tenerife,Costa Adeje,"Av. Eugenio Dominguez Alfonso, 23, 38660 Costa Adeje, Santa Cruz de Tenerife",261,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-438,Iberostar Waves Cala Domingos,Iberostar Hotels,,,1 España,Baleares- Mallorca,,Cala Domingos,"Carrer de Cala Domingos, s/n, 07689 Cala Domingos, Illes Balears",433,0,,,,,,,NO,NO,NO,NO,,,Activo
